Sales.Id;Sales.date;Sales.price;Sales.property_type;Sales.surface;Sales.longitude;Sales.latitude;Sales.postcodes;Sales.area;Sales.bathrooms;Sales.beds;Sales.ber_id;Sales.parking;Sales.description;Sales.central_heating;Sales.alarm;Sales.gas_heating;Sales.oil_heating;attic.conversion;ensuites;PriceHistory.date0;PriceHistory.price0;PriceHistory.date1;PriceHistory.price1;PriceHistory.date2;PriceHistory.price2;PriceHistory.date3;PriceHistory.price3;PriceHistory.date4;PriceHistory.price4;PriceHistory.date5;PriceHistory.price5;PriceHistory.date6;PriceHistory.price6;PriceHistory.date7;PriceHistory.price7;PriceHistory.date8;PriceHistory.price8;PriceHistory.date9;PriceHistory.price9;PriceHistory.date10;PriceHistory.price10;PriceHistory.date11;PriceHistory.price11;PriceHistory.date12;PriceHistory.price12;PriceHistory.date13;PriceHistory.price13;PriceHistory.date14;PriceHistory.price14;PriceHistory.date15;PriceHistory.price15
253156;"2017-06-30 00:00:00;"226500;"Residential Sale;"100.6;"-8.4483343;"51.891653;";"Rathvilly;"1;"3;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247786;"2017-05-04 00:00:00;"310000;"Residential Sale;"120.0;"-7.9546278;"53.4435622;";"Ashtown;"2;"4;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251432;"2017-06-21 00:00:00;"225000;"Residential Sale;"148.6;"-8.9942928;"52.8330481;";"Ennis;"2;"4;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251311;"2017-06-20 00:00:00;"162000;"Residential Sale;"151.0;"-6.8818464;"52.1679037;"Y34 VP97;"Duncannon;"3;"4;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256117;"2017-07-21 00:00:00;"310000;"Residential Sale;"130.7;"-9.1175641;"53.2701919;";"Knocknacarra;"3;"4;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256206;"2017-07-24 00:00:00;"460000;"Residential Sale;"107.0;"-6.2709454;"53.3558011;"D07 E1H5;"Phibsboro;"2;"3;"E2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249345;"2017-05-24 00:00:00;"180000;"Residential Sale;"70.0;"-9.3421641;"53.0061508;";"Doolin;"2;"2;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242497;"2017-03-31 00:00:00;"550000;"Residential Sale;"102.0;"-6.094074;"53.3899162;"Dublin 13;"Howth;"2;"2;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244879;"2017-04-13 00:00:00;"299999;"Residential Sale;"134.0;"-6.8004265;"53.1850072;"W12 DN72;"Newbridge;"3;"4;"C3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253986;"2017-07-11 00:00:00;"555000;"Residential Sale;"134.0;"-6.1362658;"53.4346677;"D13 R923;"Portmarnock;"3;"4;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238156;"2017-02-20 00:00:00;"45000;"Residential Sale;"125.0;"-7.6185418;"53.346066;";"Ferbane;"2;"4;"G;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241776;"2017-03-23 00:00:00;"220000;"Residential Sale;"103.4;"-8.836209;"53.5188847;";"Ruan;"1;"4;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";180000.0;2017-01-04;200000.0;2018-05-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255655;"2017-07-18 00:00:00;"240000;"Residential Sale;"124.02;"-8.4511716;"52.8073031;";"Killaloe;"2;"3;"A3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255766;"2017-07-19 00:00:00;"272400;"Residential Sale;"124.02;"-8.4511716;"52.8073031;";"Killaloe;"2;"3;"A3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248971;"2017-05-25 00:00:00;"75000;"Residential Sale;"80.0;"-6.2318604;"52.6495184;";"Courtown;"2;"2;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251916;"2017-06-28 00:00:00;"315000;"Residential Sale;"105.0;"-6.4270912;"53.402998;"D15 K8N0;"Clooney;"3;"3;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236368;"2017-02-03 00:00:00;"85000;"Residential Sale;"163.0;"-6.9417297;"52.8498836;";"Foynes;"1;"5;"G;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256388;"2017-07-27 00:00:00;"195000;"Residential Sale;"200.0;"-8.9323724;"53.2649525;"H91 RX6N;"Ruan;"4;"6;"C2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
